clean_post,polarity,sentiment,affect_label,label_name
years since diagnosed anxiety depression today im taking moment reflect far ive come since,-0.66,Negative,1,high negative affect
sunday need break im planning spend little time possible,0.0,Neutral,0,non-negative affect
awake tired need sleep brain ideas,-0.44,Negative,1,high negative affect
rt retro bears make perfect gifts great beginners get stitching octobers sew sale yay httptco,0.904,Positve,0,non-negative affect
hard say whether packing lists making life easier reinforcing much still needs moving house anxiety,0.178,Positve,0,non-negative affect
making packing lists new hobby moving house,0.0,Neutral,0,non-negative affect
point keeping stuff nostalgic reasons cross line plain old hoarding moving house,0.0,Neutral,0,non-negative affect
currently findingboxesofrandomshit packing phase think im closet hoarder,0.0,Neutral,0,non-negative affect
cant bothered cook take away way lazy,-0.138,Negative,1,high negative affect
rt itv releases promo video final series downton abbey httptcomcivezr httptcocfbkrrvjis,0.0,Neutral,0,non-negative affect
also much stuff way way much moving house,0.0,Neutral,0,non-negative affect
never want put one together lot harder looks httptcoujltcklb,-0.057,Negative,1,high negative affect
moving stuff bloomin knackering theres still loads,0.0,Neutral,0,non-negative affect
back house moving stuff peaceful,0.494,Positve,0,non-negative affect
urgh anxiety ffs come breathe,-0.67,Negative,1,high negative affect
much stuff way way much massive purge way,0.0,Neutral,0,non-negative affect
hideous traffic must remember pay closer attention traffic reports,-0.103,Negative,1,high negative affect
packing purging feels good,0.44,Positve,0,non-negative affect
bampq looking internal doors fun times,0.511,Positve,0,non-negative affect
time get many things busy day ahead,0.0,Neutral,0,non-negative affect
get lie little longer cat buddy,0.0,Neutral,0,non-negative affect
theres nothing like cocktails exhaustion aid good nights sleep,0.44,Positve,0,non-negative affect
great night favourite ladies much needed past days love much,0.852,Positve,0,non-negative affect
sat sofa quick rest hour ago need move,0.0,Neutral,0,non-negative affect
much want pizza right,0.077,Positve,0,non-negative affect
always love peter gabriel eyes httptcofoaexmvoid,0.637,Positve,0,non-negative affect
busy day ahead need focus im feeling edge derailment right,0.128,Positve,0,non-negative affect
even smallest thing still makes heart break doesnt feel like ever goes away,-0.276,Negative,1,high negative affect
choosing curtain pole suddenly confusing many choices yes know isnt real problem,0.469,Positve,0,non-negative affect
completed house got keys fab day whoop,0.459,Positve,0,non-negative affect
rt hi could retweet long stayers sammy suki photographed todaybuckscatsorguk http,0.0,Neutral,0,non-negative affect
big day today,0.0,Neutral,0,non-negative affect
lovely panda story httpstcoggavekymp,0.586,Positve,0,non-negative affect
rt weather outside frightfulbut makes delightful heres sneak peak october issues projects httptco,0.586,Positve,0,non-negative affect
thats good news least httpstcoslzaqjr,0.44,Positve,0,non-negative affect
headache took nap three hours woke bit confused time day,-0.318,Negative,1,high negative affect
rt budget recipes less head dont compromise flavour httptcocgzpxjlrp htt,0.0,Neutral,0,non-negative affect
rt rt please rt us yr old dog owner getting distraught lost dog http,-0.557,Negative,1,high negative affect
rt flying displays vintage jets significantly restricted notice caa limited fly pasts,-0.542,Negative,1,high negative affect
rt happy monday crafters need bit pickmeup get started check httptcoxafwnd,0.572,Positve,0,non-negative affect
dont sleep like cats twitter httptcosyarrrfa httptcoagjtxf,-0.276,Negative,1,high negative affect
truly awful httpstcojilwkco,-0.026,Neutral,0,non-negative affect
